@id,amenity,building,name,phone,website,wheelchair,building:levels,email,opening_hours:signed,roof:shape,smoking,toilets:wheelchair,wheelchair:description,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:facebook,contact:instagram,contact:phone,contact:twitter,contact:website,opening_hours,roof:colour,roof:levels,alt_name,building:colour,building:material,check_date,check_date:opening_hours,image,start_date,year_of_construction,contact:mobile,operator,previously,contact:email,contact:fax,drink:club-mate,leisure,live_music,operator:type,owner,wikidata,wikimedia_commons,layer,source,seamark:hulk:category,seamark:type,addr:housename,addr:place,building:part,contact:ra,culture,name:etymology:wikidata,name:etymology:wikipedia,open_air,wikipedia,addr:floor,bar,level,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,ref:vatin,toilets,nohousenumber,club,brewery,official_name,source_ref:url,old_contact:facebook,old_contact:ra,old_name:2015--2024-01-22,old_operator,old_wikidata,wifi,longitude,latitude,check_date:smoking,old_name,check_date:currency:XBT,currency:XBT,loc_name,name:en,opening_hours:description,outdoor_seating,payment:lightning,payment:lightning_contactless,payment:onchain,note,kinky,access,entrance,brothel:swingerclub,description,fax,min_age,mobile,facebook,instagram,lgbtq,short_name,internet_access,url,music_genre,name:ja,payment:free,cruising,lgbtq:cruising,lgbtq:men,opening_hours:office,unused:amenity,contact:whatsapp,alt_name_1,mapillary,air_conditioning,contact:qype,contact:yelp,identity,provides,fixme,name:es,delivery,takeaway,payment:cards,karaoke,disused:amenity,disused:name,charge:conditional,fee,nudism
way/277805717,nightclub,,Festsaal Kreuzberg,+49 30 403655630,https://www.festsaal-kreuzberg.de/,yes,,,,,outside,,"Durchs Tor kann man ebenerdig, kein Rolli-WC",Berlin,,2,12435,Am Flutgraben,,https://www.facebook.com/FestsaalKreuzberg/,https://www.instagram.com/festsaalkreuzberg/,,,,,,,,,,2024-08-28,,,,,,Neue Flutgraben Betriebsgesellschaft mbH & Co KG,,,,,,,,,Q115794233,File:20230916 xl 1534-Festsaal Kreuzberg 2.jpg,,survey,,,,,,,,,,,,0,yes,0,yes,yes,yes,yes,yes,DE310804941,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/286165789,nightclub,yes,Berghain Kantine,,https://www.berghain.berlin/de/program/kantine-am-berghain/,limited,,support@berghain.de,,,,,,Berlin,DE,,10243,Am Wriezener Bahnhof,Friedrichshain,https://www.facebook.com/KantineamBerghain/,,,,,,,,,,,2023-11-03,,,,,,Berghain OstGut GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/291111616,nightclub,,ÆDEN,,http://aedenberlin.com,no,,,,,,,,,,3,10997,Schleusenufer,,,,,,,Tu 22:00-08:00; Th 22:00-08:00; Fr 22:00-10:00; Sa 18:00-10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/293386107,nightclub,yes,Kater Blau,,,yes,,,,,separated,yes,,Berlin,DE,25,10243,Holzmarktstraße,Friedrichshain,https://www.facebook.com/katerblau/events,https://www.instagram.com/katerblaugram,+49 30 47361686,,http://www.katerblau.de,,,,,,,,,,2014,,,Katerclub GmbH,,info@katerblau.de;hello@katerblau.de,,,,,,,Q2658747,,,,,,,,,https://ra.co/clubs/99161,,,,,de:Kater Blau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/342600129,nightclub,,Maaya,,https://maaya.de/,,,,,,,,,Berlin,DE,99,10245,Revaler Straße,Friedrichshain,,https://www.instagram.com/maaya_berlin/,+49 30 297766770,,,"Tu-Th,Su 12:00-22:00; Fr,Sa 12:00-23:00; ",,,,,,,,,,,,Maaya Event GmbH,,info@maaya.de,,,music_venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/355476495,nightclub,,OXI Garten,,,limited,,,,,,,,Berlin,DE,1-4,10365,Wiesenweg,Lichtenberg,,,,,https://oxi-garten.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/379305718,nightclub,yes,Metropol,+49 30 403678560,https://metropol-berlin.de,yes,5,info@metropol-berlin.de,,,separated,yes,,Berlin,,5,10777,Nollendorfplatz,,,,,,,"""zu Veranstaltungen""",,,,,,,,,,,,,,,,,,,,,Q1724204,,,,,,,,,,,,,,de:Metropol (Berlin),,,,,,,,,,,,,Krombacher;Starnberger,Metropol Berlin,https://metropol-berlin.de/contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/684464913,nightclub,commercial,Cassiopeia,,,limited,1,,,,,yes,,Berlin,DE,99,10245,Revaler Straße,Friedrichshain,,cassiopeia_berlin,,,https://cassiopeia-berlin.de/,,,,,,,,,,,,,,,,,,,yes,,,Q47163174,Category:Cassiopeia (Berlin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/1081145396,nightclub,,Abstrakt,,,yes,,,,,no,yes,,Berlin,DE,121,10407,Storkower Straße,Prenzlauer Berg,,https://www.instagram.com/abstrakt.berlin,+49 30 65832595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://de.ra.co/clubs/233027,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/menschmeierberlin/events,https://ra.co/clubs/103373;https://ra.co/clubs/227831,Mensch Meier,Mensch Meier GmbH,Q105762292,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/259845846,nightclub,,Junction-Bar,+49306946602,https://www.junction-bar.de/,no,,,,,,,,Berlin,DE,18,10961,Gneisenaustraße,Kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3931533,52.4913696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/262818281,nightclub,,ASeven Club,,https://www.aseven.de,limited,,,,,no,,,Berlin,,7,10178,Alexanderstraße,,,,,,,"Fr 23:30-06:00, Sa 19:00-06:00",,,,,,2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4164254,52.5232268,2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/339749949,nightclub,,Matrix,,,limited,,,,,isolated,no,,Berlin,DE,18,10245,Warschauer Platz,Friedrichshain,,,+49 30 29369990,,https://www.matrix-berlin.de/,Mo-Su 22:00-07:00,,,,,,,,,,,,,,hallo@matrix-berlin.de,,,,,,,Q552863,Category:Matrix (club),,,,,,,,,,,,,en:Matrix (club),,,0,,,,,,,,,,,,,,,,,,,13.4490212,52.5046782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/360111407,nightclub,,Lido,,,yes,,,no,,isolated,yes,"Stufe am Haupteingang, Rampe vorhanden. Für das rolligerechte WC bitte vor Ort nach dem Schlüssel fragen.",Berlin,DE,7,10997,Cuvrystraße,Kreuzberg,https://www.facebook.com/lidoberlin/,lidoberlin,+49 30 69566840,,https://www.lido-berlin.de/,,,,,,,,2025-01-20,,,,,,,,,yes,,yes,,,Q100256393,Category:Lido (Berlin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4450748,52.4992172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/373095675,nightclub,,Humboldthain Club,,https://www.humboldthain.com/,no,,,,,,,,Berlin,,46,13357,Hochstraße,,,,,,,"Tu 18:00-04:00, Th 19:00-04:00, Sa-Su 23:00-09:00",,,,,,2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3787124,52.5441625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/383210462,nightclub,,Narva Lounge,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,2024-11-26,2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4489112,52.5045582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/410135945,nightclub,,Wild at Heart,,http://wildatheartberlin.de,no,,,,,,,,,,,10999,,,,,,,,"""When they host a concert, doors opens at 20h. Otherwise they are closed""",,,,,,2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4310967,52.4974686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/429735547,nightclub,,Clärchens Ballhaus,,https://www.claerchensball.haus/,no,,info@claerchensball.haus,,,outside,no,,Berlin,DE,24,10117,Auguststraße,Mitte,https://www.facebook.com/claerchens.ballhaus/,https://www.instagram.com/claerchens_ballhaus,+49 30 2829295,,,Tu-Fr 17:00-23:00; Sa-Su 14:00-23:00,,,,,,2024-08-17,,,,,,,,,,,,,,,Q1103846,Category:Clärchens Ballhaus,,,,,,,,,,,,,de:Clärchens Ballhaus,,,,,,,,,,,,,,,,,,,,,,13.39691,52.5264743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/461623768,nightclub,,Sun Chiller Lounge,,,limited,,,,,,,,,,,,,,,,,,,"We-Sa 16:00-24:00+, Su 14:00-24:00+; PH 14:00-24:00+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.441495,52.5179462,,Café Warschau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/475153994,nightclub,,Postbahnhof,,,yes,,,,,,,,Berlin,DE,8,10243,Straße der Pariser Kommune,Friedrichshain,https://www.facebook.com/PostbahnhofEvent/,,,,https://postbahnhof.com/,,,,Postbahnhof am Ostbahnhof,,,,,,,,+49 152 5374 4760,,,events@postbahnhof.com,,,,,,,Q62011644,Category:Postbahnhof (venue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4363946,52.5086309,,Fritzclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/485354535,nightclub,,Glashaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4530728,52.4973833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/485640732,nightclub,,Zur Wilden Renate,,,no,,,no,,yes,,,Berlin,DE,70,10245,Alt-Stralau,Friedrichshain,,https://www.instagram.com/wilderenate,+49 30 25041426,,https://www.renate.cc,,,,,,,,2025-10-14,,2007-09,,,Zur Wilden Renate oHG,,,+49 30 25041427,served,,,,,Q21036513,,,,,,,,,https://ra.co/clubs/8556,,,,,de:Wilde Renate,,,,,yes,yes,,,,,,,,,,,,,,,,13.4653065,52.4973901,,Salon zur Wilden Renate,2024-04-19,no,Renate,Wilde Renate,"""At night. since 23.00h till early in the morning.""",yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/492849637,nightclub,,RAW 99,,,limited,,,,,,,,Berlin,DE,99,10245,Revaler Straße,Friedrichshain,,,,,http://www.raw-tempel.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.454537,52.5076615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/621429565,nightclub,,Berndhain,,,,,,no,,,,,Berlin,DE,32,10245,Simon-Dach-Straße,Friedrichshain,,,,,,,,,,,,,2025-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4560428,52.5091003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/652884290,nightclub,,Calabash,,,,,,,,,,,Berlin,DE,21,10119,Veteranenstraße,Mitte,,,+49 30 83030144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4007592,52.5336193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/667842214,nightclub,,Sage,,https://www.sage-club.de/,yes,,,,,no,yes,,Berlin,DE,76,10179,Köpenicker Straße,Mitte,https://www.facebook.com/RockatSageBerlin/,https://www.instagram.com/rockatsage/,,,,,,,,,,,,,,,,,,,,,,,,,Q2211685,,,,,,,,,,,,,,de:Sage Club,,,,,,,,,,,,,,,,,,,,,,13.4169088,52.5110197,,,,,,,,,,,,subsidiary of KitKat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/670069373,nightclub,,NBI Club,,,no,,,,,,,,Berlin,DE,5,10119,Zionskirchstraße,Mitte,,,+49 179 4261189,,http://www.neueberlinerinitiative.de,Mo-Su 20:00+,,,,,,2023-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.401179,52.53567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/729294555,nightclub,,Kit Kat Club,,,limited,,,,,yes,yes,,Berlin,DE,76,10179,Köpenicker Straße,Mitte,,kitkatclub.official,+49 30 7871896,,http://www.kitkatclub.org,,,,KitKat Club;KitKatClub,,,,,,,,,,,,,,,yes,,,Q322135,Category:KitKatClub,,,,,,,,,,,,,de:KitKatClub,,,,,,,,,,,,,,,,,,,,,,13.4169157,52.5112074,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/736787851,nightclub,,1820,+493081453960,https://www.belushis.com/bars/berlin,no,,,,,yes,,,Berlin,DE,41,10178,Rosa-Luxemburg-Straße,Mitte,,,,,,Mo-Su 19:00-00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4107036,52.526786,,,,,,,,,,,,,,customers,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/739305494,nightclub,,Insomnia,+49 30 51654143,https://www.insomnia-berlin.de/,,,dominique@insomnia-berlin.de,,,,,,Berlin,DE,17,12099,Alt-Tempelhof,Tempelhof,,,,,,"Tu 19:00-02:00, We 20:00-02:00, Th 14:00-24:00; Fr-Sa 22:00+, Su 19:00-02:00",,,,,,,,,,,,Insomnia GbR,,,,,,,,,Q1285955,,,,,,,,,,,,,,de:Insomnia (Club),,,,,,,,,,,,,,,,,,,,,,13.3860876,52.4655581,,,,,,,,,,,,,yes,,,events,Erotic Nightclub,+49 30 51654143,18,+49 177 2333878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/821646254,nightclub,,Abgedreht Klub,,,,,,no,,,,,Berlin,DE,,10243,Karl-Marx-Allee,Friedrichshain,,,,,,,,,,,,,2023-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.452579,52.5156316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/898983650,nightclub,,K133 Night Lounge,,,no,,,,,,,,Berlin,DE,133/134,10711,Kurfürstendamm,Halensee,,,,,http://night-lounge.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2932442,52.4972653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/910429971,nightclub,,Ballhaus Berlin,+49 30 2827575,https://www.ballhaus-berlin.de/,yes,,info@ballhaus-berlin.de,,,,,,Berlin,DE,102,10115,Chausseestraße,Mitte,,,,,,"Mo-Sa 15:00-04:00, Su 15:00-01:00",,,,,,,,https://media04.berliner-woche.de/event/2016/05/18/6/16526_XXL.png,1905,,,Ballhaus Berlin GmbH,,,,,,,,,,File:Ballhaus Berlin Chausseestraße.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.380294,52.5320796,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/ballhaus.berlin,https://www.instagram.com/ballhausberlin/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
