name,street,housenumber,city,postcode,speciality,opening_hours,website,id,longitude,latitude,wheelchair,description,email,toilets_wheelchair,wheelchair_description,district_id,neighborhood_id,amenity
Allgemeinmedizin Kaiser/Walsh,Stubnitzstraße,,Berlin,13189,general,"Mo 08:30-13:30; Tu 10:00-13:00,14:00-18:00; We 09:00-12:00; Th 13:00-18:00; Fr 08:00-12:00",,9436903925,13.4158288,52.5669455,no,,,,,11003003,307,group_practice
Allgemeinmedizin Max Bürck-Gemassmer,Elsenstraße,1,Berlin,12435,general,"Mo-Fr 09:00-12:00; Mo 15:00-18:00; Th 14:00-17:00 || ""nach Vereinbarung""",,6029694390,13.4598323,52.4939429,,"Facharzt für Allgemeinmedizin, Chirotherapie, Homöopathie, Naturheilverfahren",,,,11009009,901,practice
Allgemeinmedizin Michaela Falter,Martin-Hoffmann-Straße,,Berlin,12435,general,"Mo-Fr 09:00-12:00, Tu 14:00-17:00, Th 14:00-17:00 || ""nach Vereinbarung""",,6029694391,13.4599399,52.4939443,,"Fachärztin für Allgemeinmedizin, Naturheilverfahren",,,,11009009,901,practice
Allgemeinmedizinische Hausarztpraxis Claus Gotzmann & Dr. med. Veronika Gohlke,Ramlerstraße,6,Berlin,13355,general,"Mo 08:30-11:30,16:00-18:00; Tu 08:30-11:30,16:00-18:00; We 08:30-11:30; Th 08:30-11:30,16:00-18:00; Fr 08:30-12:00",,10792690392,13.3920673,52.5470683,,,,,,11001001,106,group_practice
Allgemeinärztin Annette Gurzynski,Neubrandenburger Straße,86,Berlin,13059,general,,,3325166986,13.5172722,52.5720826,,,,,,11011011,1109,practice
Alpay Kizir,Residenzstraße,43,Berlin,13409,internal;general;cardiology,,,10148227426,13.3632059,52.565217,,,,,,11012012,1201,practice
Alper Moran,Hauptstraße,5,Berlin,10827,general,,,10314816006,13.3592151,52.4897557,,,,,,11007007,701,practice
Ambulantes OP-Zentrum,Schönhauser Allee,118,Berlin,10437,anaesthetics,Mo-Th 08:00-17:00; Fr 08:00-15:00,https://aerzte-schoenhauser-berlin.de/portfolio-item/ambulantes-operations-zentrum-dipl-med-christian-stein-dr-med-oliver-izi/,7992527802,13.4124394,52.5492072,yes,,,,,11003003,301,clinic
Ambulatorium Schillingstraße 12,Schillingstraße,12,Berlin,,,,,29387900,13.4219482,52.5187804,no,,,,Die Rampe erfordert nicht die Ansprüche an einen barrierefreien Eingang,11001001,101,clinic
Andre Baumgartner,Leonorenstraße,95,Berlin,12247,paediatrics,"Mo-Th 09:00-12:30,15:00-17:00; We,Fr 09:00-12:30",,2354523816,13.3454693,52.4370295,no,,,,,11006006,603,practice
Andrea Blum-Weigeldt,Prinzessinnenstraße,,Berlin,12307,psychiatry,"open ""nach Vereinbarung""",,8013031517,13.3946235,52.3865137,,"Psychologische Psychotherapeutin - Verhaltenstherapeutin, alle Kassen und privat",,,,11007007,706,practice
Andreas Bär,Bietzkestraße,1,Berlin,10315,general,"Mo 08:00-13:00; Tu,We,Fr 08:00-12:00; Th 13:00-18:00",,3741811284,13.500017,52.5052556,no,,,,,11011011,1112,practice
Andreas Büsing,Innstraße,,Berlin,12043,general,"Mo 09:00-12:00, 16:00-18:00; Tu 09:00-14:00; Th 09:00-12:00, 17:00-18:00; Fr 09:00-12:00; We ""nach Vereinbarung""",,8207731323,13.4419597,52.4799914,,,,,,11008008,801,practice
Andreas Groß,Groß-Ziethener Straße,35,Berlin,12309,paediatrics,"Mo,We 09:00-12:00, Mo,Tu,Th 15:00-18:00, Tu,Th,Fr 09:00-14:00",,4485201592,13.4102727,52.3943893,,,,,,11007007,706,practice
Andreas Göckenjan,Hauptstraße,131,Berlin,10827,general;diabetology;occupational,"Mo,We,Fr 09:00-13:00; Tu 14:00-18:00; Th 15:00-19:00",https://www.hausarzt-diabetespraxis-berlin.eu/,7066762910,13.35343,52.4843774,,Hausarzt- und Diabetespraxis,,,,11007007,701,practice
Andreas Sonnen,Schloßstraße,26,Berlin,12163,general,,,9461408619,13.3228831,52.4595327,,,,,,11006006,601,practice
Andreas und Uta Reich,Schloßstraße,88,Berlin,12163,gynaecology,"Mo 09:00-16:00; Tu 08:00-19:00; We,Fr 09:00-12:00; Th 08:00-18:00",http://www.frauenarztpraxis-reich.de/,9556720124,13.3217326,52.4575525,,,,,,11006006,601,practice
Angela Paul,Ferdinandstraße,27,Berlin,12209,dermatovenereology; allergology; herbalism; naturopathy,Tu 09:00-13:00; We 08:00-16:00; Fr 08:00-13:00,,5493117419,13.3293034,52.4266586,,,,,,11006006,602,practice
Angela Reles,Rüdesheimer Platz,5,Berlin,14197,gynaecology,"Mo-Th 08:00-12:00, Mo,Tu,Th 14:00-18:00, Fr 08:00-13:00",http://www.dr-reles.de/,8071205633,13.3153072,52.4736136,,,,,,11004004,402,practice
Angelika Walew,Marthashof,,Berlin,10435,general,"Mo,We,Fr 09:00-13:00, Tu 14:00-19:00, Th 14:00-18:00",,5335602740,13.4058447,52.5379724,no,,,,,11003003,301,practice
Anita Höhne,Rheinstraße,29,Berlin,12161,gynaecology,"Mo,Th 12:00-18:00; Tu 08:00-14:00; Fr 08:00-12:00",https://www.anitahoehne.de/,7799378782,13.330337,52.4671998,,,,,,11007007,702,practice
Anja Eisentraut,Lichtenrader Straße,12,Berlin,12049,general;addiction,"Mo-Fr 09:00-13:00, Mo 14:00-16:00, Th 14:00-17:00",,7255709637,13.4200806,52.4765864,,,,,,11008008,801,practice
Anke Böhnke und Heike Büsenga,Alt-Moabit,109,Berlin,,gynaecology,Mo 08:30-15:30; Tu-Th 08:30-19:30; Fr 08:30-13:30; Sa-Su off,https://www.fa-moabit.de,12060230475,13.3504301,52.5242213,,,praxis@fa-moabit.de,,,11001001,102,practice
Anne Reichmann,Wiener Straße,26,Berlin,10999,gynaecology,,,1965863421,13.4327884,52.4968787,no,,,,,11002002,202,practice
Antje Brumby,Grazer Damm,113-119,Berlin,12157,paediatrics,,,8486926091,13.34835,52.4697642,,,,,,11007007,701,practice
Antje Rathert,Winsstraße,45,Berlin,10405,internal;general,"Mo 08:00-13:00,14:00-16:00; Tu,Th 13:00-18:00; We 08:00-12:00,13:00-15:00; Fr 08:00-13:00",https://praxis-rathert.de/,6088923863,13.4271361,52.5360875,,,,,,11003003,301,practice
Antje Rätzer,Ferdinandstraße,27,Berlin,12209,general;acupuncture,Tu 09:00-13:00; We 08:00-16:00; Fr 08:00-13:00,,5493117420,13.3292739,52.4267053,,,,,,11006006,602,practice
Antonia Seeger-Held,Schloßstraße,19,Berlin,12163,gynaecology,"Mo 08:30-14:00; Tu,Th 14:00-19:00; We,Fr 09:00-14:00; PH,Su off",,8378546973,13.3241156,52.4608524,,,,,,11006006,601,practice
Artedoc,Chausseestraße,,Berlin,10115,radiology;travel_medicin;corporate_health_management,,,5734002053,13.3867211,52.5283903,no,,,,,11001001,101,practice
Arzt Dr. Horowski,Königstraße,27,Berlin,12105,internal;general,"Mo-Fr 08:00-12:00, Mo,Tu,Th 15:30-18:00",,6210652024,13.3846612,52.446644,yes,Internist Diabetologe,internist_in_mariendorf@gmx.de,,,11007007,704,practice
Arzt für Allgemeinmedizin,Breitensteinweg,15,Berlin,14165,general,"Mo 08:30-14:00; Tu,Th 08:30-12:30,15:00-17:00; We 08:30-12:30; Fr 08:30-12:00; Su off",https://www.arzt-zehlendorf.berlin/,1054886527,13.2610248,52.4107871,no,"Praxis für Allgemeinmedizin, Manuelle Medizin und Akupunktur; Akademische Lehrpraxis der Charité-Universitätsmedizin Berlin",info@arzt-zehlendorf.berlin,,,11006006,604,practice
Arztpraxen,Treskowallee,128,Berlin,10318,internal;gynaecology;general,,,6171061086,13.5242876,52.4788507,,,,,,11011011,1102,clinic
Arztpraxis,Am Containerbahnhof,,Berlin,10367,gynaecology,"Mo,Tu,Th 08:00-19:00; We 08:00-12:00,14:00-19:00",https://www.birgit-nauschuetz.de/,9934680893,13.4776894,52.5148403,,,praxis@birgit-nauschuetz.de,,,11011011,1103,practice
Arztpraxis Abdelhamid Brahimi,Weserstraße,,Berlin,12047,general;naturopathy,"Mo,Tu,Th,Fr 09:00-12:00, Mo,Tu,Th 15:00-18:00; We 09:00-13:00 || ""und nach Vereinbarung""",,745730922,13.4316592,52.4872914,,,,,,11008008,801,practice
Arztpraxis Allgemeinarzt,Brunsbütteler Damm,,Berlin,13591,general,"Mo,Th 08:00-12:00,15:00-18:00; Tu,We 08:00-12:00; Fr 08:00-11:00; Sa,Su,PH off",,4332297469,13.1557157,52.5325455,no,,,,,11005005,504,practice
Arztpraxis Bergmannkiez,Bergmannstraße,5,Berlin,10961,orthopaedics;surgery;trauma,,https://bergmannkiez-orthopaede.de,7486470632,13.3884668,52.4891837,,,,,,11002002,202,practice
Arztpraxis Berlin Friedenau,Hauptstraße,74,Berlin,12159,general,,https://www.b-arzt.de/,7620604061,13.3386127,52.4745548,,,,,,11007007,702,practice
Arztpraxis Dr. Sylva Mitterdiami,Chemnitzer Straße,196,Berlin,,general,"Mo 08:00-10:00,14:00-20:00, Tu 08:00-13:00, We 08:00-11:00, Th 15:00-20:00, Fr 08:00-11:00; PH off",https://www.praxis-arzt.de,3779595517,13.5745955,52.4880066,,,,,,11010010,1003,practice
Arztpraxis Dr. med. Antje Bodamer,Bizetstraße,48,Berlin,13088,general;internal,"Mo,Fr 08:00-12:00; Tu 13:00-18:00; Th 08:00-13:00",https://praxis-bodamer.de/,3039050431,13.4541602,52.5476902,,,,,,11003003,302,practice
Arztpraxis Driesener Straße,Driesener Straße,11,Berlin,10439,general;infectious_diseases,"Mo,Th 09:00-14:00,16:00-19:00; Tu 09:00-13:00,16:00-19:00; We 09:00-14:00; Fr 09:00-13:00",http://www.praxis-driesener.de/,4424716989,13.4061332,52.5525327,limited,,,,,11003003,301,practice
Arztpraxis HI26,Ehrlichstraße,26,Berlin,,,,https://hi26.de/,4902790920,13.5205896,52.4805055,,Past: Familienpraxis,mail@hi26.de,,,11011011,1102,practice
Arztpraxis Heine,Wackenbergstraße,8,Berlin,13156,general,"Mo,Th 08:30-13:30; Tu,We 14:00-19:00",,1163348417,13.405046,52.583122,no,,,,,11003003,311,practice
Arztpraxis Mehdi Zadeh,Briesingstraße,13A,Berlin,12307,general,"We 08:30-11:30 ""nur telefonisch""; Mo,Th 08:00-12:00,15:30-18:00; Tu,Fr 08:00-12:00; PH off",http://www.arztpraxis-mehdi-zadeh.de/,420517414,13.3994422,52.3854787,no,,,,,11007007,706,practice
Arztpraxis Schmalfuss,Fichtelbergstrasse,11,Berlin,,,"Mo 08:00-16:00; Tu, We 08:00-15:00; Th 10:00-18:00",https://arztpraxis-schmalfuss.de/,13251306089,13.5521537,52.5352621,,"FACHARZT FÜR INNERE MEDIZIN
hausärztliche Versorgung
Sascha Schmalfuß",,,,11010010,1001,practice
Arztpraxis Trautmann,Albrechtstraße,42,Berlin,12099,dermatology,,https://www.arztpraxis-trautmann.de/,13247426592,13.3852845,52.4609226,,,,,,11007007,703,practice
Arztpraxis Wilhelmshagen,Grenzbergeweg,12,Berlin,12589,general,"Mo 08:00-11:00,15:00-19:00; Tu 08:00-15:00; We 08:00-11:00; Th 14:00-17:00; Fr 08:00-11:00",https://arztpraxis-wilhelmshagen.de/,2640145314,13.7206689,52.4373484,,,,,,11009009,912,practice
Arztpraxis am Amtsgerichtsplatz,Neue Kantstraße,32,Berlin,14057,general,"Mo-Tu 08:00-13:00,15:30-19:00; We 08:00-13:00; Th  08:00-13:00,15:30-19:00; Fr 08:00-13:00",https://www.praxis-amtsgerichtsplatz.de,7014269159,13.2943055,52.5065904,,,,,,11004004,401,practice
Arztpraxis für Prävention & Rehabilitation,Stargarder Straße,12,Berlin,10437,general;physiatry,"Mo,We 13:00-17:45; Tu,Th-Fr 08:00-12:00",https://www.hausarztpraxis-berlin.de/,9994180451,13.4169349,52.5468194,limited,,,,,11003003,301,group_practice
Arztpraxis im Hausstockweg,Hausstockweg,57,Berlin,12107,general,"Mo-Tu 08:00-12:00,14:00-18:00; We 08:00-12:00,14:00-16:00; Th 08:00-12:00,14:00-18:00; Fr 08:00-12:00",https://www.arztpraxis-im-hausstockweg.de/Unsere-Praxis,1247539693,13.3935019,52.4330215,,,,,,11007007,704,practice
Astrid Crößmann,Prinzessinnenstraße,,Berlin,12307,child_psychiatry,"open ""nach Vereinbarung""",,8013031520,13.3947199,52.386483,,"Analytische Kinder- und Jugendlichenpsychotherapeutin, alle Kassen und privat",,,,11007007,706,practice
Atrium Chirurgicum,Bozener Straße,17,Berlin,10825,surgery,,https://www.chirurgicum-berlin.de/,8257529763,13.3384653,52.486949,,,,,,11007007,701,practice
Aturo,Mecklenburgische Straße,27,Berlin,14197,urology,"Mo-Fr 09:00-13:00, 15:00-18:00",http://www.aturoberlin.de/,1396396808,13.3086171,52.4784025,,,,,,11004004,403,practice
Augen-Tagesklinik,Warschauer Straße,34-36,Berlin,10243,ophthalmology,"""Call for appointments""",http://www.augenklinik.md,5181354049,13.4483418,52.505235,,,,,,11002002,201,clinic
Augenarzt,Alt-Blankenburg,29,Berlin,13129,ophthalmology,,,2930937203,13.4552707,52.5934018,limited,,,,,11003003,303,practice
Augenarzt - Irina Bill - Lasermed,Oschatzer Ring,10,Berlin,12627,ophthalmology,"Mo 10:00-12:30,13:30-18:00, Tu 10:00-12:30,13:15-16:00, We 10:00-12:30,13:15-15:30, Th 10:00-12:30,13:30-18:00, Fr 09:00-14:00; PH off",https://augenarzt.lasermed.de/berlin/hellersdorf-oschatzer-ring/,9083766062,13.6150593,52.5415214,,,augenarzt@lasermed.de,,,11010010,1005,practice
Augenarzt Dr. Amir Karandish,Tempelhofer Damm,125,Berlin,12099,ophthalmology,"Mo 08:00-12:00,14:30-18:00; We 08:00-12:00",https://www.augenarzt-berlin-tempelhof.de/,3179936459,13.3860031,52.4684368,yes,,,,,11007007,703,practice
Augenarzt Dr. Mathias Altmeyer,Ellen-Widmann-Pfad,,Berlin,12205,ophthalmology,"Mo,We,Fr 08:00-14:00; Tu,Th 12:00-18:00",http://www.augenarzt-altmeyer.de,2691708881,13.303598,52.4276113,,Kassenpatienten und Privatpatienten Privatsprechstunde: Montags 16-18 Uhr,,,,11006006,602,practice
Augenarzt Dr. med. Bashar Moustafa,Münsterberger Weg,122,Berlin,12621,ophthalmology,"Mo 08:00-14:00; Tu 08:00-14:00; We 13:00-18:00; Th 08:00-12:00,13:00-17:00; Fr 08:00-12:00",https://augenarztberlin.info/,266680057,13.5985472,52.5070039,,,,,,11010010,1003,practice
Augenarzt Dr. med. Ina Kannengießer,Zeltinger Platz,4-6,Berlin,,ophthalmology,"Mo 08:00-13:30,15:00-18:00, Tu 13:00-19:00, Th 13:30-19:00, Fr 08:00-13:00",https://frohnaugen.de/,4126848892,13.2905993,52.6331329,no,,,,,11012012,1205,practice
Augenarzt Shahnazary,Dörpfeldstraße,52,Berlin,12489,ophthalmology,"Mo 08:30-12:30,14:30-18:00; Tu 08:30-12:00,14:30-18:00; We 08:30-13:30; Th 08:00-12:30,14:30-18:00; Fr ""nach Vereinbarung""",,5562706321,13.5496009,52.4385922,yes,,,,,11009009,907,practice
Augenarzt Wannsee,Königstraße,57B,Berlin,14109,ophthalmology,,https://augenarzt-wannsee.de/,10734626932,13.1580955,52.4191117,,,,,,11006006,607,practice
Augenarzt der Lasermed Augenzentren MVZ GmbH,Grunewaldstraße,,Berlin,10825,ophthalmology,,https://augenarzt.lasermed.de/berlin/augenarzt-schoneberg-martin-luther-strasse/,9482969077,13.3446347,52.488762,,,,,,11007007,701,clinic
Augenarztpraxis Berlin Süd,Köpenicker Straße,,Berlin,12355,ophthalmology,,,10246140895,13.4968859,52.4185333,yes,,,,,11008008,804,practice
Augenarztpraxis Birthe Venrath,Berliner Straße,1A,Berlin,13507,ophthalmology,,http://augenarzt-tegel.com/,8319088520,13.2834041,52.5894876,,,,,,11012012,1202,practice
Augenarztpraxis Bundesplatz,Bundesallee,68,Berlin,12161,ophthalmology,"Mo 14:00-18:00; Tu 11:00-13:00; We 07:00-13:00,14:00-16:00; Th 07:00-13:00; Fr 07:00-12:00; PH off",https://www.augenpraxis-bundesplatz.de/,8071205649,13.3281219,52.4755429,,,,,,11007007,702,practice
Augenarztpraxis Dr. Azar Hasanli,Am Treptower Park,75,Berlin,12435,ophthalmology,"Mo,Th 08:00-15:00; Tu,We 09:00-15:00, Fr 08:00-12:00",,2521156202,13.4576505,52.4921303,yes,,,,,11009009,901,practice
Augenarztpraxis Dr. Ulrike Sanft,Tegnerstraße,1,Berlin,,ophthalmology,"Mo, Tu 08:00-15:00; We 08:00-11:00; Th 08:00-12:00, 14:00-18:00; Fr 08:00-12:00",http://augenarztpraxis-sanft.de/,8840637860,13.4101515,52.5545583,,,,,,11003003,301,practice
Augenarztpraxis Dr. Urszula Kaczmarek;Dr. Tina Hertling,Brunowstraße,52,Berlin,13507,ophthalmology,,https://www.augen-berlin-tegel.de,2421735920,13.2852657,52.5872625,no,,,,,11012012,1202,group_practice
Augenarztpraxis Helmholtzplatz,Raumerstraße,14,Berlin,10437,ophthalmology,"Mo, Th 10:00-13:00, 14:00-16:00; Tu 08:00-12:00, 13:00-15:00; We 08:00-13:00; Fr 08:00-12:00",https://augenarztpraxis-helmholtzplatz.de/,9992082417,13.4198403,52.5420601,,,,,,11003003,301,practice
Augenarztpraxis Katrin Abel Dr. med. Carolyn Walde,Sterndamm,9,Berlin,12487,ophthalmology,"Mo,Th 08:30-12:00, 15:00-18:00, Tu,Fr 08:30-12:00, We 09:00-12:00||""nach Vereinbarung""; PH off",https://www.augenpraxis-sterndamm.de/,11429259969,13.5098,52.4527226,,,,,,11009009,904,practice
Augenarztpraxis Maria Horn,Hans-Otto-Straße,14,Berlin,10407,ophthalmology,"Mo,Fr 07:30-13:00; Tu,Th 11:00-18:00",,7936632110,13.4358626,52.5307528,,,,,,11003003,301,practice
Augenarztpraxis Sanoculus MVZ Steglitz,Albrechtstr,99,Berlin,,ophthalmology,"Mo-We 08:00-16:30; Th, Fr 08:00-14:00",,10104017168,13.3323477,52.4529354,,,,,,11006006,601,clinic
Augenarztpraxis am Bayerischen Platz,Bayerischer Platz,9,Berlin,10779,ophthalmology,,https://www.augenarzt-bayerischer-platz.de/,10124884272,13.3405829,52.4881328,,,,,,11007007,701,practice
Augenarztpraxis am Plänterwald,Galileistraße,31,Berlin,12435,ophthalmology,Mo 08:30-17:00; Tu 08:30-17:00; We 09:00-14:00; Th 14:00-20:00,http://www.augenarzt-drlemke.de/,4444772219,13.4788473,52.4805388,,,,,,11009009,902,practice
Augenarztpraxis am Savignyplatz,Carmerstraße,7,Berlin,10623,ophthalmology,,https://www.augenarzt-berlin.de/,10785164773,13.3234884,52.5069536,no,,,,,11004004,401,practice
Augenheilkunde,Freiheit,1,Berlin,12555,ophthalmology,Mo 13:00-19:00; Tu-Th 08:00-13:00; Fr 08:00-12:00,https://www.augenarzt-stoldt.de/,12715717106,13.5759119,52.4471683,,,,,,11009009,910,practice
Augentagesklinik Berlin-Bohnsdorf,Dorfplatz,6,Berlin,12526,ophthalmology,,https://www.augenaerztin.berlin/,3531173234,13.555417,52.399065,,,,,,11009009,908,clinic
Augenärzte Quurke und Blohmer,Scharnweberstraße,,Berlin,13405,ophthalmology,"Mo-Sa 09:00-12:00, Mo,Tu,Th,Fr 16:00-18:00",,1979152023,13.3225919,52.5652271,no,,,,,11012012,1201,practice
Augenärzte am Rathaus Steglitz,Albrechtstraße,132,Berlin,12165,ophthalmology,"Mo,Tu,Th 08:30-12:00,14:30-18:00; Fr 08:30-13:00",https://www.augenärzte-steglitz.de/,9556720128,13.3217426,52.4574091,,,,,,11006006,601,practice
Augenärztin Breitenbach,Bartningallee,5,Berlin,10557,ophthalmology,"Mo-Tu 08:30-12:30, 14:30-18:00; We 08:30-14:30; Th 12:00-14:30, 16:00-19:30",,816598832,13.3425708,52.5189314,yes,,,,,11001001,103,practice
Avicenna Klinik,Paulsborner Straße,2,Berlin,10709,neurosurgery;orthopaedics,,https://avicenna-klinik.com,3923385926,13.306612,52.4986743,,,,,,11004004,402,clinic
Aydogan Nayim,Franz-Körner-Straße,,Berlin,12359,general,"Tu 09:00-15:00; Mo,Th 09:00-17:00; We 15:00-18:00",,11146501540,13.4483531,52.4575007,limited,,,,,11008008,802,practice
B18 Gesundheitszentrum,Badensche Straße,18,Berlin,10715,,,http://www.b18-gesundheitszentrum.de/,5049915761,13.3324816,52.4862047,yes,,,,,11004004,402,clinic
Babak Mayelzadeh,Hermannstraße,144,Berlin,12051,otolaryngology,Mo-Th 08:30-15:30; Fr 08:30-14:00,https://www.hno-arzt-neukölln.de/,7902490964,13.4337255,52.4638656,no,,dr-mayelzadeh@mail.de,,,11008008,801,practice
Babett Vogler,Kollwitzstraße,14,Berlin,10405,,"Mo 08:00-13:00; Tu,Th 08:00-13:00,14:00-17:00; Fr 08:00-12:00",,3644905695,13.4137427,52.5320884,,,,,,11003003,301,practice
Barbara Mieling,Carmerstraße,7,Berlin,10623,psychiatry,,,10785164775,13.3235133,52.5070379,no,,,,,11004004,401,practice
Barbara Steinbach,Senefelderstraße,31,Berlin,10437,psychiatry,,,10095241872,13.4220768,52.5405265,,,,,,11003003,301,practice
Barbara Teigelkamp,Geusenstraße,8,Berlin,10317,homeopathy,"""Termine nach telefonischer Vereinbarung""",,4595174279,13.4795316,52.5036091,no,klassische Homöopathie,,,,11011011,1112,practice
Bartholomäus Gabrys,Revaler Straße,100,Berlin,10243,orthopaedics,,https://www.orthomed.berlin/,5050656121,13.4501795,52.5080574,yes,,,yes,,11002002,201,practice
Bauchzentrum Biesdorf,Elsterwerdaer Platz,1,Berlin,12683,gastroenterology,,http://bauchzentrum-biesdorf.de,11060609708,13.5575246,52.5052511,,,,,,11010010,1002,clinic
Baumeister/Schleiermacher,Seumestraße,21,Berlin,10245,,"Sa,Su,PH off; Mo,Tu,Fr 08:00-13:00, Mo 14:00-16:00, Tu 14:00-17:00; We 09:00-13:00,14:00-18:00; Th 09:00-13:00,14:00-18:00",,2439358437,13.461891,52.5098315,no,,,,,11002002,201,group_practice
Beate Wegner,Alt-Friedrichsfelde,,Berlin,10315,gynaecology,"Mo 07:30-13:00; Tu,Th 13:00-18:00; We 07:30-12:00; Fr 07:30-10:00",,6479958681,13.5050645,52.5104884,no,,,,,11011011,1101,practice
Berghafenpraxis,Rollbergstraße,30,Berlin,12053,paediatrics,"Mo 09:00-12:00, Mo 14:30-15:30; Tu 09:00-13:00; We 09:00-12:00, We 15:00-15:30; Th, Fr 09:00-14:00",https://www.berghafenpraxis.de/,7052620851,13.4315812,52.4798287,,,,,,11008008,801,practice
Berliner CityChirurg,Tauentzienstraße,,Berlin,10789,surgery,,,1685085152,13.3381707,52.5032261,,,,,,11004004,401,practice
Bernd Bergander,Grunewaldstraße,58,Berlin,10825,psychiatry,,,8423496191,13.3415022,52.4884947,,,,,,11007007,701,practice
Bernd Gotthardt,Rheingaustraße,22,Berlin,12161,,,http://home.snafu.de/bernd.gotthardt/,10197656851,13.3211937,52.4699748,,,,,,11007007,702,practice
Bernd Hüske,Georg-Wilhelm-Straße,21,Berlin,10711,orthopaedics;trauma,"Mo,Tu 08:00-12:00,15:00-18:00; Th 08:00-12:00,14:00-16:00; Fr 08:00-12:00",,7549698923,13.2901792,52.498424,,,,,,11004004,407,practice
Bernhard Blaschke & Dr. Ulrike Halbeisen,Fontanepassage,,Berlin,13439,general,"Mo-Fr 08:00-14:00,15:00-19:00; Sa 10:00-13:00",,11002539590,13.3557417,52.5976934,,,,,,11012012,1210,group_practice
Bianca Baykan und Abdallah Karajoli,Schloßstraße,93,Berlin,12163,paediatrics,"Mo-Th 09:00-16:00; Fr 09:00-14:00 || ""und nach Vereinbarung""",https://www.kinderärzte-steglitz.de/,8177206747,13.3222936,52.4582191,no,,,,,11006006,601,practice
Biberburg Med-Service GmbH,Gatower Straße,241,Berlin,,,Mo-Th 08:30-18:30; Fr 08:30-14:00,https://www.biberburg.de/,5779019383,13.1806609,52.4978999,,Willkommen in der orthopädischen und unfallchirurgischen Gemeinschaftspraxis Biberburg,,,,11005005,505,clinic
Bingreddy Wangsatimur,Landsberger Allee,,Berlin,10365,gynaecology,,,12536030261,13.4959217,52.5346252,,,,,,11011011,1110,practice
Birgit Landgrebe,Kufsteiner Straße,3,Berlin,10825,psychiatry,,,11407518398,13.3372958,52.4878622,,,,,,11007007,701,practice
Bogdan Myndiuk,Ringbahnstraße,3,Berlin,10711,gynaecology,"Mo,We 12:30-19:00; Tu,Th 08:00-14:00; Fr 10:00-14:00",https://mein-frauenarzt-in-berlin.de/,7744838947,13.2895786,52.4979572,,,,,,11004004,407,practice
