city,housenumber,postcode,street,amenity,speciality,name,opening_hours,website,id,longitude,latitude,country,suburb,wheelchair,description,email,toilets_wheelchair,wheelchair_description
Berlin,241,10365,Frankfurter Allee,doctors,nephrology,Nierenzentrum Frankfurter Allee,"Mo,We,Fr 08:00-15:00,16:00-18:00; Tu,Th 08:00-15:00",http://www.nierenzentrum.info/,612814377,13.4968299,52.5120892,DE,Lichtenberg,,,,,
Berlin,54,12359,Paster-Behrens-Straße,doctors,general;internal,Dr. Dominic Mutlu,"Mo,Tu,Th,Fr 09:00-12:00; Mo,Th 16:30-18:30",,620850014,13.4454241,52.4452836,DE,Britz,,,,,
Berlin,1,10435,Hagenauer Straße,doctors,general;internal;infectious_diseases,Praxis an der Kulturbrauerei,"Mo 08:30-13:00,15:00-18:00; Tu 08:30-12:00,13:30-16:00; We 08:30-13:00; Th 08:30-13:00,15:00-19:00; Fr 08:30-13:00",https://praxis-kulturbrauerei.de,667893281,13.4165117,52.5385236,DE,Prenzlauer Berg,limited,,,,
Berlin,152,12487,Sterndamm,clinic,,Ärztehaus Johannisthal,,,669088712,13.5001666,52.4396916,DE,Johannisthal,yes,,,,
Berlin,4,10365,Schottstraße,clinic,,Ärztehaus am Roedeliusplatz,,,694302689,13.4909414,52.5151416,,,limited,,,,
Berlin,70,12355,Alt-Rudow,doctors,,Mohamad Al-Raai,"Mo,Tu,Th 08:00-13:00,14:00-18:00; We,Fr 08:00-13:00",,699536409,13.4963783,52.4168874,,Rudow,no,,,,
Berlin,40,12249,Kamenzer Damm,doctors,general,Peter Kraemer & Khadijeh Jahangir-Bakhtiary,,,739999336,13.3595725,52.4339508,,Lankwitz,no,,,,
Berlin,,12047,Weserstraße,doctors,general;naturopathy,Arztpraxis Abdelhamid Brahimi,"Mo,Tu,Th,Fr 09:00-12:00, Mo,Tu,Th 15:00-18:00; We 09:00-13:00 || ""und nach Vereinbarung""",,745730922,13.4316592,52.4872914,,Neukölln,,,,,
Berlin,17,13156,Dietzgenstraße,doctors,general,Hausarztpraxis am Ossietzkyplatz,"Mo,Th 12:00-18:00; Tu,Fr 07:00-13:00",,747200086,13.4029105,52.5814164,,,yes,,,,
Berlin,26,13156,Dietzgenstraße,doctors,internal;oncology,Dr.med. Stephan Oertel,"Mo-Fr 08:00-12:30; Mo,We,Fr 15:00-18:00",https://www.praxisniederschoenhausen.de/willkommen.html,747457640,13.4040219,52.5823668,DE,Niederschönhausen,limited,,,,
Berlin,22,13156,Dietzgenstraße,doctors,ophthalmology,Dr. med. André Weller,"Mo,Th 08:00-12:00,15:00-17:00; Tu,Fr 08:00-12:00",http://www.augenarzt-pankow.de,747457659,13.4043113,52.5820291,DE,Niederschönhausen,,,,,
Berlin,,13156,Dietzgenstraße,doctors,otolaryngology,Wolfgang Kühne,"Mo,We,Fr 08:00-12:00; Th 10:00-12:00; Mo 14:00-16:00; Tu 13:00-18:00; Th 14:00-18:00",,747509370,13.4015276,52.5869911,,Niederschönhausen,yes,,,,
Berlin,,12557,Oberspreestraße,doctors,general,Karin-Ilona Richter,"Mo-Th 08:00-12:00 open ""Bitte Termin vereinbaren!"", 12:00-13:00 open ""Privatsprechstunde und nach Vereinbarung"", Mo,We 16:00-18:00 open ""Bitte Termin vereinbaren!"", Fr ""nach Vereinbarung""|| ""nach Vereinbarung""; PH off",,761371651,13.5666894,52.4449396,,Köpenick,limited,,,,
Berlin,133,12277,Marienfelder Allee,doctors,general,Dr. Bärbel Ennuschat,"Mo,Th 08:30-12:30,15:30-17:30; Tu-We,Fr 08:30-12:00",https://dr-ennuschat.com,783980696,13.3650603,52.4145054,,,no,,,,
Berlin,126,10407,Danziger Straße,doctors,surgery,Dr. med. Matthias Oelrich,"Mo,Tu,Th 08:00-13:00,15:00-18:00; We,Fr 08:00-14:00",,814795064,13.433938,52.5353892,DE,Prenzlauer Berg,no,,,,
Berlin,5,10557,Bartningallee,doctors,ophthalmology,Augenärztin Breitenbach,"Mo-Tu 08:30-12:30, 14:30-18:00; We 08:30-14:30; Th 12:00-14:30, 16:00-19:30",,816598832,13.3425708,52.5189314,,,yes,,,,
Berlin,142,12043,Karl-Marx-Straße,doctors,otolaryngology,DOCS of BERLIN,Mo-Fr 08:00-20:00; Sa 11:00-15:00,https://mvz-dob.de/,821966643,13.4385561,52.4767367,DE,Neukölln,yes,Eingang Saltykowstraße,termine@mvz-dob.de,,
Berlin,136,10999,Skalitzer Straße,doctors,neurology,Georg Laszlo Kruppa,,,848507627,13.4184313,52.4995051,DE,Kreuzberg,yes,,,,
Berlin,53,10969,Oranienstraße,doctors,internal;gastroenterology,Praxisgemeinschaft Moritzplatz,"Mo-Fr 08:00-08:45,11:00-11:30",,871633756,13.412601,52.5032512,DE,Kreuzberg,no,,,,
Berlin,9-10,10999,Mariannenstraße,doctors,general,Dr. med. Karim Soltani Allgemeinmedizin,"Mo,Tu,Th,Fr 09:00-18:00; We 09:00-14:00",,872178153,13.4224908,52.4996901,DE,Kreuzberg,,,,,
Berlin,9-10,10999,Mariannenstraße,doctors,ophthalmology,J. Ekteshafi Augenheilkunde,,,872180781,13.4224696,52.4996617,DE,Kreuzberg,,,,,
Berlin,,10999,Skalitzer Straße,clinic,,Ärztehaus,"Mo,Tu,Th 08:30-13:00,14:00-18:00; We,Fr 08:30-14:00",,872223518,13.4198597,52.4988453,,Kreuzberg,yes,,,,
Berlin,16,10997,Adalbertstraße,doctors,,Gynäkologisches Versorgungszentrum Kreuzberg MVZ,"Mo,Tu,Th 08:00-17:00; We,Fr 08:00-15:00",,872541543,13.4198923,52.501761,,Kreuzberg,,,,,
Berlin,158,10969,Oranienstraße,clinic,surgery;general,MVZ am Moritzplatz,"Mo,Tu,Th 08:00-18:00; We,Fr 08:00-12:00",http://medizin-kreuzberg.de/,874357625,13.4132967,52.5027923,DE,Kreuzberg,yes,,,,"es gibt leider keine Rollitoiletten, sonst alles ok."
Berlin,7,13187,Damerowstraße,clinic,,Ärztehaus Damerowstraße,,,911925361,13.4169764,52.5721447,,Pankow,limited,,,,
Berlin,201,10365,Siegfriedstraße,doctors,neurosurgery,Wirbelsäulenzentrum Vertebral,"Mo-Th 08:00-11:30,12:30-16:00; Fr 08:00-12:00",http://www.vertebral.de/,913248492,13.4982769,52.5151724,DE,Lichtenberg,yes,,,,
Berlin,,13591,Haberlandweg,doctors,gynaecology,Frauenarztpraxis Berlin,"Mo-Th 08:00-19:00; We,Fr 08:00-12:00",http://www.gyn-praevention.de/,929462289,13.1550112,52.5318974,,Staaken,,,,,
Berlin,1-3,14129,Breisgauer Straße,clinic,general;gastroenterology;optometry;gynaecology;cardiology;internal;dentist,Ärztehaus am Schlachtensee,,https://www.aerztehaus-am-schlachtensee.de/,933513566,13.2152923,52.4393545,DE,Schlachtensee,yes,,,,
Berlin,7,13353,Föhrer Straße,doctors,general,Dr. med. Zadan Plagens,"Mo,Tu 08:00-14:00, We 13:00-18:00, Th,Fr 08:00-12:00, Th 14:00-18:00",,941475632,13.348044,52.5409609,DE,Wedding,limited,"inner_medicine, GP",,,
Berlin,39,14163,Karl-Hofer-Straße,doctors,otolaryngology,Dr. Susanne Kraas,,https://www.berlin-hnopraxis.de/,974783005,13.2369067,52.4372311,DE,Zehlendorf,limited,,,,
Berlin,131,10717,Uhlandstraße,doctors,dermatology,FaceSculptClinic,"""nach Vereinbarung""",,976653171,13.3235669,52.4922321,DE,Wilmersdorf,no,,,,
Berlin,79,12309,Skarbinastraße,doctors,gynaecology,,Mo 08:00-14:00; Tu 13:00-19:00; We 08:00-14:00; Th 13:00-19:00; Fr 08:00-13:00,,988277355,13.420424,52.3929941,DE,Lichtenrade,limited,,,,
Berlin,,12349,Wolfgang-Seifert-Weg,doctors,,Praxis Dr. Lotfi,,https://www.drlotfi.de/,1008402408,13.4360268,52.4181125,,Buckow,yes,,,,
Berlin,1,10245,Sonntagstraße,clinic,surgery;general;orthopaedics;trauma;proctology,Chirurgie & Orthopädie am Ostkreuz,"Mo-Th 08:00-12:00,14:00-17:00; Fr 08:00-12:00",http://www.chirurgie-ostkreuz.de/,1038248666,13.4680671,52.5044921,DE,Friedrichshain,yes,,info@chirurgie-ostkreuz.de,,
,15,14165,Breitensteinweg,doctors,general,Arzt für Allgemeinmedizin,"Mo 08:30-14:00; Tu,Th 08:30-12:30,15:00-17:00; We 08:30-12:30; Fr 08:30-12:00; Su off",https://www.arzt-zehlendorf.berlin/,1054886527,13.2610248,52.4107871,,,no,"Praxis für Allgemeinmedizin, Manuelle Medizin und Akupunktur; Akademische Lehrpraxis der Charité-Universitätsmedizin Berlin",info@arzt-zehlendorf.berlin,,
Berlin,2,14163,Limastraße,doctors,orthopaedics,Orthopädische Praxis am Mexikoplatz,,http://www.dr-stammeier.de/Kontakt.html,1075315511,13.2314537,52.4382613,DE,,limited,,,,
Berlin,1,14163,Argentinische Allee,doctors,pulmonology,Pneumologie am Mexikoplatz,"We 08:00-12:00,13:00-15:00 ; Mo,Th10:00-14:00,15:00-18:00 ; Tu,Fr ""nach Vereinbarung""",https://www.pneumologie-mexikoplatz.de,1075315526,13.2332901,52.4379488,DE,Zehlendorf,limited,,,,
Berlin,2,10409,Mandelstraße,doctors,general;sports_physician,Algemeinmedizin und Sportarztpraxis,"Mo,Th 09:00-12:00; Mo 16:00-18:00; Tu 12:00-17:00; We,Fr 08:00-11:00",https://www.dr-katrin-geissler.de,1143805317,13.4410872,52.545499,,,limited,,,,
Berlin,8,13156,Wackenbergstraße,doctors,general,Arztpraxis Heine,"Mo,Th 08:30-13:30; Tu,We 14:00-19:00",,1163348417,13.405046,52.583122,DE,Niederschönhausen,no,,,,
Berlin,9-11,12349,Alt-Buckow,clinic,,MVZ-Vitalis,Mo-Th 07:30-19:00; Fr 07:30-18:00; Sa 09:00-12:00,https://www.mvz-vitalis.de/,1168212013,13.4352588,52.4227868,DE,Buckow,yes,,,,
Berlin,119,14050,Spandauer Damm,doctors,behavior,Oliver von Berg,,,1168898031,13.2788969,52.5180444,,Westend,,,,,
Berlin,111,14163,Fischerhüttenstraße,clinic,nephrology,Nierenzentrum Zehlendorf,Mo-Sa 07:30-15:00;Sa 07:30-19:30,http://www.dialyse-zehlendorf.de/,1217659471,13.2385141,52.4441457,DE,Zehlendorf,,,,,
Berlin,28,12621,Ridbacher Straße,doctors,orthopaedics,Orthopädie Dr. Ralf Schröder,,,1223197339,13.6089982,52.5167016,DE,Kaulsdorf,yes,,,,
Berlin,8,13581,Seeburger Straße,doctors,,Kontor Spandau,,http://www.gesundheitszentrum-spandau.de,1231426108,13.1921555,52.5287087,DE,Wilhelmstadt,yes,,,no,
Berlin,,13503,Schulzendorfer Straße,doctors,,"Dr. Karsten Paetzel, Dr. Cornelia Hoffmann","Mo-Fr 09:00-12:00, Mo,Tu,Th 16:00-18:00",,1233470948,13.2394855,52.6139024,,Heiligensee,,,,,
Berlin,,13503,Am Dachsbau,doctors,,Praxis am Dachsbau,,,1233471137,13.2324139,52.6133006,,Heiligensee,,,,,
Berlin,16,10999,Kottbusser Straße,doctors,gynaecology,Karola Brandt,"Mo,Th 11:00-18:00; Tu-We,Fr 08:00-14:00",https://www.frauenarztpraxis-brandt.de/,1246211697,13.4198093,52.4969481,DE,Kreuzberg,,,,,
Berlin,57,12107,Hausstockweg,doctors,general,Arztpraxis im Hausstockweg,"Mo-Tu 08:00-12:00,14:00-18:00; We 08:00-12:00,14:00-16:00; Th 08:00-12:00,14:00-18:00; Fr 08:00-12:00",https://www.arztpraxis-im-hausstockweg.de/Unsere-Praxis,1247539693,13.3935019,52.4330215,,Mariendorf,,,,,
Berlin,98,14057,Kaiserdamm,doctors,,Medizinisches Behandlungszentrum Lietzensee,,,1252990393,13.2867046,52.5100348,DE,,limited,,,,"Rampe auf Anfrage, Rollstuhl-WC"
Berlin,29,10249,Weidenweg,doctors,general,R. Kling,"Mo 15:00-18:00,08:00-12:00; Tu 08:00-12:00; We 08:00-12:00; Th 08:00-12:00,16:00-19:00; Fr 08:00-12:00",,1258800198,13.4494221,52.5179075,,Friedrichshain,no,,,,
Berlin,82-84,10243,Karl-Marx-Allee,doctors,general;paediatrics,familycare Berlin,"Mo-Fr 09:00-12:00, Mo 14:00-18:00, Tu 14:00-16:00, We,Th 15:00-19:00",http://www.familycareberlin.de,1272323910,13.4388926,52.5169788,DE,Friedrichshain,no,Praxis für Kinderheilkunde und Allgemeinmedizin,,,"Eine Stufe ca 20cm am Vordereingang Karl-Marx-Allee, (steile) Rampe am rückseitigen Eingang und zum Fahrstuhl. Im Gebäude Fahrstuhl. Kein Rollstuhl-WC."
Berlin,72a,10249,Petersburger Straße,doctors,surgery,Chirurgische Praxis Hofmann & Wierth,"Mo,Tu,Th,Fr 08:00-12:00, Mo-Th 14:00-17:00, Fr 14:00-15:00",http://hofmann-wierth.de,1272472318,13.451848,52.5194807,DE,Friedrichshain,yes,,,,
Berlin,23,10243,Kadiner Straße,clinic,,DTZ Berlin - Ärztehaus Kadiner Straße,Mo-Fr 08:00-18:00,https://www.berlin-dtz.de/,1272472319,13.4511418,52.5151646,DE,Friedrichshain,yes,,,,Stufenloser Eingang über Nebeneingang Hildegard-Jadarnowitz-Straße
Berlin,22,10247,Müggelstraße,doctors,paediatrics,Kinderarztpraxis am Traveplatz,,http://kinderarztpraxis-traveplatz.de/,1283595011,13.4704979,52.5112738,DE,Friedrichshain,limited,,,,
Berlin,121,13355,Brunnenstraße,doctors,ophthalmology,Müller Eyecare,,https://www.augenchirurgieberlin.de,1301803182,13.3937649,52.5405531,,,,,,,
Berlin,2,13595,Graetschelsteig,doctors,,Dr. med. Eberhard Zühlsdorff,,,1305299272,13.1870436,52.5172624,DE,Wilhelmstadt,no,,,no,
Berlin,156a,13353,Müllerstraße,doctors,ophthalmology,,"Mo 09:00-17:00, Tu,We 08:30-14:00, Th 11:00-17:00, Fr ""nach Vereinbarung""  || Th ""nach Vereinbarung""; PH off",https://www.berliner-augenarzt.de/,1306876596,13.3602486,52.5452105,DE,Wedding,yes,,praxis@berliner-augenarzt.de,,Fahrstuhl
Berlin,,13156,Beuthstraße,doctors,gynaecology,Dr. Med. Gabriele Ulsemer,"""mo-mi,fr 8-13. di 13-17. do 13-19""",,1307667993,13.4069502,52.5862471,,Niederschönhausen,yes,,,,
Berlin,,13597,Galenstraße,doctors,,Praxisgemeinschaft am Bahnhof Spandau,,,1336552408,13.1952216,52.5359247,,Spandau,limited,,,,
Berlin,2-3,13597,Markt,clinic,general;neurosurgery,Ärztehaus,,,1336685638,13.2044575,52.5369549,,Spandau,yes,,,,"Diverse Ärzte u.a. Allgemeinmedizin, Augenarzt, Neurochirurg"
Berlin,,13597,Charlottenstraße,doctors,,Ärztehaus,,,1336835358,13.2020913,52.5370906,,Spandau,yes,,,no,Zahnarzt Krankengymnastik
Berlin,27,14197,Mecklenburgische Straße,doctors,urology,Aturo,"Mo-Fr 09:00-13:00, 15:00-18:00",http://www.aturoberlin.de/,1396396808,13.3086171,52.4784025,DE,Wilmersdorf,,,,,
Berlin,34,10405,Winsstraße,doctors,paediatrics,Sabine Pohlentz,"Mo,Th 08:00-12:00,15:00-18:00; Tu 12:00-18:00; We,Fr 08:00-12:00",https://www.sabinepohlentz.de,1401087611,13.4284632,52.5370175,,Prenzlauer Berg,limited,,,,
Berlin,206A,12524,Ortolfstraße,doctors,dermatology,Dipl.-Med. Claudia Schütz Dermatologin,,,1421230365,13.5259192,52.4025572,DE,Altglienicke,yes,,,,"Praxis ja, kein WC"
Berlin,106-107,10367,Möllendorffstraße,doctors,general,Dr. Kerstin Franke,"Mo,We 09:00-13:00; Tu 15:00-19:00; PH closed; Th 09:00-12:00,16:00-18:00; Fr 09:00-14:00",,1435405367,13.4797687,52.5171066,DE,Lichtenberg,limited,,,,Eingang durch Treppenhaus
Berlin,7,10629,Dahlmannstraße,doctors,internal,Dr. Schlich / Dr. Schorn,"Mo,Tu 8:30-12:00, 15:00-18:00; We off; Th 8:30-12:00, 17:00-20:00; Fr 8:30-12:00",http://www.praxis-schlich-schorn.de,1507687080,13.303575,52.5022101,DE,Charlottenburg,yes,,,,
Berlin,16,10555,Levetzowstraße,doctors,otolaryngology,Dr. med. Arijana Radeljik,"Mo-Fr 09:00-13:00; Mo,Th 15:00-18:00",,1515662237,13.3371771,52.5202215,DE,Moabit,no,,,,
Berlin,26,14057,Kaiserdamm,doctors,dermatology,Dermatologie am Kaiserdamm,"Mo,Tu,Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00",https://www.derma-kaiserdamm.de/,1515676194,13.2812688,52.5101997,DE,Westend,yes,,,,
Berlin,10,12101,Manfred-von-Richthofen-Straße,doctors,gynaecology,Frauenarzt Prof. Dr. Dr. R-Y. Ridha,"Mo,We-Fr 15:00-18:00,Tu 09:00-12:00,15:00-18:00",,1524609032,13.3831666,52.4838564,DE,Tempelhof,no,,,,
Berlin,5A,13439,Senftenberger Ring,doctors,oncology;internal;haematology,Eilers Lönnecker - Onkologie,,http://www1.nio-berlin.de/content/mitglieder/eilersloennecker_rackwitz/index_ger.html,1575415121,13.3556628,52.5977237,DE,Märkisches Viertel,,,,,
Berlin,35,10405,Rykestraße,doctors,child_psychiatry,Praxis für Kinder- und Jugendlichenpsychotherapie,"""Termine nach Vereinbarung""",,1584765821,13.4218129,52.5383768,,,no,,,,
Berlin,74a,12159,Fregestraße,doctors,general,Dr. med. Andreas Kärsten,"Mo,Fr 09:00-13:00; Tu,Th 15:00-19:00; We 09:00-11:00",,1613061216,13.337615,52.4715775,,,limited,,,,
Berlin,1,12555,Freiheit,clinic,general; gynaecology; ophthalmology; orthopaedics; otolaryngology; psychiatry; speech_therapist; dentist,Ärzte Zentrum Köpenick,,http://praxis-freiheit1.de/,1618861746,13.5758681,52.4472814,,Köpenick,,,,,
Berlin,7,10247,Silvio-Meier-Straße,doctors,general,Dr. Nadine Schmickaly,"Mo 11:00-13:00,15:00-18:00, Tu 08:00-13:00, We,Fr 11:00-13:00, Th 15:00-18:00; Sa,Su,PH off, Th 08:00-13:00",http://www.hausarztpraxis-berlin-friedrichshain.de/,1643127241,13.4637562,52.5161748,DE,Friedrichshain,no,,,,
Berlin,,12683,Buschiner Straße,doctors,general,Ärtinnen und Arzt,,,1646165831,13.5562288,52.5228489,,Biesdorf,no,,,,
Berlin,,13189,Westerlandstraße,doctors,general,Robert Klose & Barbara Nikolaus,,,1658078748,13.4168349,52.5582365,,Pankow,no,,,,
Berlin,,10789,Tauentzienstraße,doctors,surgery,Berliner CityChirurg,,,1685085152,13.3381707,52.5032261,,Charlottenburg,,,,,
Berlin,58,12159,Fregestraße,doctors,ophthalmology,Dr. med. Ch. Heckmann,"""Nach Vereinbarung""",,1694534895,13.3371328,52.4680535,DE,Friedenau,no,,,,
Berlin,71,13089,Romain-Rolland-Straße,doctors,general,Dipl.-Med. Christine Nowitzki,"Mo 09:00-12:00,16:00-19:00; Tu 15:00-19:00; We 09:00-13:00; Th 15:00-19:00; Fr 09:00-14:00",,1695512705,13.4387523,52.5683827,,Heinersdorf,,,,,
Berlin,93,12205,Unter den Eichen,clinic,gynaecology,Tagesklinik unter den Eichen,Mo-Th 08:00-15:00; Fr 08:00-13:00,http://www.tagesklinik-unter-den-eichen.de/home.html,1724523076,13.2912619,52.4444506,DE,Lichterfelde,,,,,
Berlin,151,13353,Müllerstraße,clinic,,Medico Leopoldplatz,"Mo-Fr 07:30-20:00,08:00-16:30",https://medico-leopoldplatz.de/,1732901969,13.3581741,52.5466232,,,limited,,info@medico-leopoldplatz.de,,"Aufzug vorhanden, weitegehend schwellenfrei, WC im Keller nicht komplett barrierefrei, Untersuchungskabinen zu schmal"
Berlin,4,13156,Hermann-Hesse-Straße,clinic,,Ärztehaus,,,1734428743,13.402647,52.5809237,DE,,yes,,,yes,"keine selbstöffnende Tür deswegen schwer reinzukommen, sonst Rollsttuhlgerecht"
Berlin,,13156,Pastor-Niemöller-Platz,doctors,pulmonology,Lungenarztpraxis Dr. Wiemer,,,1786030962,13.3976274,52.5802334,,Niederschönhausen,limited,,,,
Berlin,77,10555,Alt-Moabit,doctors,general,Dr. med. Ron Philipps,"Mo 08:00-12:00,15:00-18:00; Tu 09:00-13:00,16:00-18:00; We off; Fr 09:00-13:00; Th 08:00-13:00",https://dr-philipps.de/,1789045839,13.3345637,52.5243978,DE,Moabit,no,,,,
Berlin,39,10555,Alt-Moabit,doctors,dermatology,Hautarzt Praxis Helena Dröge,"Mo 14:00-18:00; Tu,We,Fr 09:00-14:00; Th 09:00-12:00,13:00-18:00",https://hautarzt-moabit.de/,1807906154,13.3333874,52.5246155,DE,Moabit,,,,,
Berlin,28,10777,Nollendorfstraße,doctors,surgery,Laser Skin,,https://www.laser-skin.de/,1915578942,13.3518464,52.4976513,DE,Schöneberg,,,,,
Berlin,19,12489,Thomas-Müntzer-Straße,doctors,general,Dr. med. Katrin Sattelkau,Mo 08:00-15:00; Tu 13:00-19:00; We 08:00-12:00; Th 13:00-19:00; Fr 08:00-12:00,https://hausarztpraxis-sattelkau.de/,1930491521,13.5464933,52.435696,DE,Adlershof,,,praxis@msattelkau.de,,
Berlin,4,12489,Albert-Einstein-Straße,doctors,,ARZ,Mo-Fr 07:30-22:00; Sa 09:00-17:00,,1930491527,13.5366657,52.4313863,DE,Adlershof,yes,,,,
Berlin,19,14059,Klausenerplatz,doctors,paediatrics,Dr. med. Beate Blank-Knaut;Wolf-Dieter Knaut,"Mo,Tu,Th 09:00-12:00,15:00-18:00; We 08:30-12:00; Fr 09:00-13:00",,1948871670,13.2899845,52.5182056,DE,Charlottenburg,no,,,,
Berlin,26,10999,Wiener Straße,doctors,gynaecology,Anne Reichmann,,,1965863421,13.4327884,52.4968787,DE,Kreuzberg,no,,,,
Berlin,27-31,14193,Caspar-Theyß-Straße,clinic,radiology;oncology,Praxis für Radioonkologie und Strahlentherapie,,https://www.praxis-strahlentherapie-berlin.de/,1974936511,13.2929804,52.4910643,,Schmargendorf,,,,,
Berlin,,14199,Warnemünder Straße,doctors,orthopaedics,Orthopädiezentrum Schmargendorf,"Fr 08:00-13:00; Mo-Th 08:00-13:00,15:00-18:00",,1975066961,13.2903059,52.4729696,,Schmargendorf,yes,,,,
Berlin,,13405,Scharnweberstraße,doctors,ophthalmology,Augenärzte Quurke und Blohmer,"Mo-Sa 09:00-12:00, Mo,Tu,Th,Fr 16:00-18:00",,1979152023,13.3225919,52.5652271,,Reinickendorf,no,,,,
