addr:city,addr:housenumber,addr:postcode,addr:street,amenity,healthcare,healthcare:speciality,name,opening_hours,operator,website,osm_id,osm_type,longitude,latitude,addr:country,addr:suburb,check_date:opening_hours,contact:phone,contact:website,level,wheelchair,description,short_name,email,fax,health_facility:type,health_specialty:family_medicine,health_specialty:internal_medicine,medical_system:western,phone,toilets:wheelchair,check_date,contact:email,contact:fax,opening_hours:url,image,outdoor_seating,dispensing,office,comment,wheelchair:description,health_specialty:obstetrics,health_specialty:reproductive_medicine,source,healthcare:alternative,operator:type,internet_access,toilets,not:brand:wikidata,health_specialty:ophthalmology,min_age,operator:start_date,health_specialty:gynaecology,emergency,health_specialty:orthopaedics,opening_hours:signed,name:en,health_specialty:dermatology,health_specialty:surgery,alt_name,note,health_specialty:venereology,addr:housename,description:de,health_specialty:paediatrics,home_visit,fixme,addr:inclusion,blind:description:de,deaf:description:de,health_specialty:psychosomatic_medicine,health_specialty:psychotherapy,health_specialty:traditional_chinese_medicine,addr:place,payment:cash,payment:credit_cards,payment:debit_cards,contact:facebook,name:ru,opening_hours:reception,opening_hours:dr_weinhold,operator:wikidata,health_specialty:emergency_medicine,health_specialty:sports_medicine,payment:mastercard,payment:visa,layer,opening_hours:note,note:de,phone_1,health_specialty:diagnostic_radiology,health_specialty:dentistry,health_specialty:maxillofacial_surgery,access,name:de,contact:mobile,doctor,instagram,opening_hours:note:de,health_specialty:allergology,health_specialty:pulmonology,disease:hiv,disease:stds,start_date,blind:description,operator:wikipedia,health_specialty:gastroenterology,internet_access:fee,internet_access:ssid,addr:floor,elevator,language:en,language:es,language:fr,language:tr,wheelchair:description:de,air_conditioning,health_service:prevention,health_service:test,lgbtq:trans,health_specialty:cardiology,healthcare:speciality:de,health_specialty:paediatric_gastroenterology,beauty,opening_hours:covid19,name:ja,branch,name:signed,old_name,mobile,payment:american_express,payment:coins,payment:maestro,payment:notes,payment:telephone_cards,capacity,day_surgery,health_specialty:pain_medicine,health_specialty:andrology,health_specialty:urology,health_specialty:optometry,opening_hours:office,survey:date,counselling_type:nutrition,health_service:counselling,health_specialty:acupuncture,health_specialty:homoeopathy,health_specialty:mind_body_intervention,health_specialty:naturopathy,health_specialty:osteopathy,health_specialty:phythotherapy,insurance:health,health_specialty:adult_psychiatry,health_specialty:neurology,reservation,noname,payment:privat,contact:instagram,health_specialty:neonatology,health_specialty:ear_nose_throat,social_facility:for,wheelchair:description:en,url,language:de,language:ku,language:ru,language:ar,language:th,fixme:type,description:en,health_service:examination,smoking,building,building:levels,neighborhood,roof:shape,height,roof:levels,roof:colour,social_facility,wikidata,wikimedia_commons,deaf:description,official_name,brand,brand:wikidata,wikipedia,roof:height,heritage,heritage:operator,lda:criteria,ref:lda,heritage:website,building:colour,ele,health_specialty:anesthesiology,health_specialty:hand_surgery,health_specialty:trauma_surgery,not:operator:wikidata,work_accident,building:material,type,building:parts,contact:city,contact:country,contact:housenumber,contact:postcode,contact:street,contact:suburb
Berlin,215,12055,Karl-Marx-Straße,doctors,doctor,general,Dr. Darian Dalmis,"Mo,Tu,Th 09:00-13:00,15:00-18:00; We,Fr 09:00-13:00; Sa 10:00-11:00",,,506410619,node,13.4417252,52.4706145,DE,Neukölln,2024-02-16,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,12,13507,Berliner Straße,doctors,doctor,orthodontics;plastic_surgery;dental_oral_maxillo_facial_surgery,Dr. med. Leia Anvari,,,https://www.dr-anvari.de,525495501,node,13.2853339,52.587514,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,24,13347,Neue Hochstraße,doctors,doctor,general,Dr. med. Klaus Dierlich,"Mo-Tu,Th 10:00-12:00,15:00-18:00; We off; Fr 10:00-12:00",,,531228825,node,13.376141,52.5426523,DE,Gesundbrunnen,2025-10-10,+49 30 46507426,,1,no,,,,,,,,,,,2025-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,28,13347,Schönwalder Straße,doctors,doctor,paediatrics,Kinderpraxis Denise Bosch Rosa,"Mo-We,Fr 08:30-12:00, Mo,Tu 14:00-17:00, Th 13:00-17:00,08:30-11:30",,,567148666,node,13.3741752,52.542169,DE,Gesundbrunnen,,+49 30 46601161,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,23,10249,Straßmannstraße,doctors,doctor,general,Dr. med. Birgit Klee,"Mo,We 09:00-14:00; Tu,Th 14:00-16:00; Fr 09:00-12:00",,https://www.arztpraxis-klee.de,567546837,node,13.4509141,52.5226306,,,,,,,no,,,,,,,,,+49 30 4275627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,15,10249,Ebelingstraße,doctors,doctor,orthopaedics,Dr. med. Ayhan Dogan,"Mo 08:00-12:30,13:30-16:30; Tu 08:00-12:30,13:30-16:30; We 08:00-12:30; Th 12:00-15:30,16:00-19:00; Fr 08:00-12:30",,,567546841,node,13.4507961,52.5237491,,,2023-07-07,,,,limited,,,,,,,,,+49 30 4261029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,doctors,doctor,urology,Dr. med Baris Sahin,"Mo,Tu,Fr 08:00-13:00, Tu 14:00-17:00, Th 13:00-17:00,08:00-12:00",,,575192282,node,13.3700829,52.5429908,,,2024-02-23,,,,yes,,,,,,,,,,,2024-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,43-45,12277,Marienfelder Allee,doctors,doctor,internal,Kathrin Repp,"Mo,Th 07:00-13:00; Tu 08:00-12:00,15:00-19:00; We 07:00-11:00; Fr 07:00-12:00",Kathrin Repp,https://www.repp-hausarzt.de/,582854283,node,13.3704503,52.4217236,,,,,,1,,,,,,,,,,,,,,,,https://www.repp-hausarzt.de/galerie#&gid=1710956311&pid=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,5,10435,Arkonaplatz,doctors,doctor,general;haematology;oncology;internal,Gemeinschaftspraxis Arkonaplatz,Mo-Fr 08:00-12:00,,,610474614,node,13.4013397,52.5375235,DE,Mitte,,+49 30 4496062,http://www.gemeinschaftspraxis-arkonaplatz.de,,yes,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,52,10367,Möllendorffstraße,doctors,doctor,radiology,Radiologisches Zentrum,Mo-Th 08:00-18:00; Fr 08:00-13:00,,,612811382,node,13.4800899,52.5248933,DE,Fennpfuhl,2024-03-12,+493057799999,https://rzm.berlin/praxis,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,241,10365,Frankfurter Allee,doctors,doctor,nephrology,Nierenzentrum Frankfurter Allee,"Mo,We,Fr 08:00-15:00,16:00-18:00; Tu,Th 08:00-15:00",,,612814377,node,13.4968299,52.5120892,DE,Lichtenberg,2024-09-24,+493055499745,http://www.nierenzentrum.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,54,12359,Paster-Behrens-Straße,doctors,doctor,general;internal,Dr. Dominic Mutlu,"Mo,Tu,Th,Fr 09:00-12:00; Mo,Th 16:30-18:30",,,620850014,node,13.4454241,52.4452836,DE,Britz,,,,,,,,,,,,,,+49 30 6019168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,1,10435,Hagenauer Straße,doctors,doctor,general;internal;infectious_diseases,Praxis an der Kulturbrauerei,"Mo 08:30-13:00,15:00-18:00; Tu 08:30-12:00,13:30-16:00; We 08:30-13:00; Th 08:30-13:00,15:00-19:00; Fr 08:30-13:00",Dr. Ivanka Krznaric;Dr. Henning Kolarikal,,667893281,node,13.4165117,52.5385236,DE,Prenzlauer Berg,,+49 30 40504660,https://praxis-kulturbrauerei.de,,limited,,,,,,,,,,,,info@praxis-kulturbrauerei.de,+49 30 405046611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,152,12487,Sterndamm,clinic,clinic,,Ärztehaus Johannisthal,,,,669088712,node,13.5001666,52.4396916,DE,Johannisthal,,,,,yes,,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,4,10365,Schottstraße,clinic,clinic,,Ärztehaus am Roedeliusplatz,,,,694302689,node,13.4909414,52.5151416,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,70,12355,Alt-Rudow,doctors,doctor,,Mohamad Al-Raai,"Mo,Tu,Th 08:00-13:00,14:00-18:00; We,Fr 08:00-13:00",,,699536409,node,13.4963783,52.4168874,,Rudow,2023-02-05,,,,no,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,40,12249,Kamenzer Damm,doctors,doctor,general,Peter Kraemer & Khadijeh Jahangir-Bakhtiary,,,,739999336,node,13.3595725,52.4339508,,Lankwitz,,,,,no,,,,,,,,,+49 30 7754388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,doctors,doctor;alternative,general;naturopathy,Arztpraxis Abdelhamid Brahimi,"Mo,Tu,Th,Fr 09:00-12:00, Mo,Tu,Th 15:00-18:00; We 09:00-13:00 || ""und nach Vereinbarung""",Abdelhamid Brahimi,,745730922,node,13.4316592,52.4872914,,,,+49 30 6874869,,,,,,,,,,,,,,2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,17,13156,Dietzgenstraße,doctors,doctor,general,Hausarztpraxis am Ossietzkyplatz,"Mo,Th 12:00-18:00; Tu,Fr 07:00-13:00",Dr. med. Andrea Hering;Dr. med. Johanna von Mechow,,747200086,node,13.4029105,52.5814164,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,26,13156,Dietzgenstraße,doctors,doctor,internal;oncology,Dr.med. Stephan Oertel,"Mo-Fr 08:00-12:30; Mo,We,Fr 15:00-18:00",Dr.med. Stephan Oertel,https://www.praxisniederschoenhausen.de/willkommen.html,747457640,node,13.4040219,52.5823668,DE,Niederschönhausen,,,,,limited,,,,,,,,,,,2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,22,13156,Dietzgenstraße,doctors,doctor,ophthalmology,Dr. med. André Weller,"Mo,Th 08:00-12:00,15:00-17:00; Tu,Fr 08:00-12:00",,http://www.augenarzt-pankow.de,747457659,node,13.4043113,52.5820291,DE,Niederschönhausen,2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,doctors,doctor,otolaryngology,Wolfgang Kühne,"Mo,We,Fr 08:00-12:00; Th 10:00-12:00; Mo 14:00-16:00; Tu 13:00-18:00; Th 14:00-18:00",,,747509370,node,13.4015276,52.5869911,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
